Code SAP;Code 6 chiffres;Libellé;Libellé Long;Product Brand;Umbrella Brand;Sous-marque;Marque;Pôle;Cluster;Famille;Product Type;Source;Date de lancement;Date d'arrêt;Multi-affectation Usine;Usine 1;Usine 2;Usine 3;Pays Cial 1;Pays Cial 2;Pays Cial 3;Pays Cial 4;Atelier SAP;Sous_Atelier1 ;Transformable;Nature du stickage;Typologie du stickage;Type de copacking;Produit source;Commentaires2;CE 1;Facilité dégagement;Passage par CE;Délai transport Usine=>Base;Prévisionniste;Forecast Type;Unité de Besoin Cial;Incertit Prev;Code Spécifique ;Code canni 1;Code canni 2;Code canni 3;Code switch;Type Promo;Code produit de référence;Type palette;Nbre UV par caisse;Nbre caisses par couche;Nbre caisses par palette;Poids brut palette;Poids net caisse;Forecast Class;Forecast Unit;EAN 13;Nbre pots par UV;EAN canni
22620;022620;ACTIV0% 125X8 BE;ACTIVIA NATURE 0% 125GX8 BE;ACTIVIA YOGHURT NATURE;ACTIVIA;Export;EXPORT;;;Export;;Danone France;1-oct-2007;1-déc-2099;Non;Bailleul (FR); ;F63 - KISS;BE;;;;Set yoghurt;Belgique;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>ACTIVIA_Export_;N/A;;;;;;>>> Promo Hors Lot;22620;Europe;3;9;216;733;3;N/A;N/A;5410146409813;8;
22628;022628;YOG MAI 125X4 BE;DANONE YOG MAIGRE 125GX4 BE;DANONE YOGHURT NATURAL;NUTRIDAY;Export;EXPORT;;;Export;;Danone France;15-oct-2007;1-déc-2099;Non;Bailleul (FR); ;F63 - KISS;BE;;;;Set yoghurt;Belgique;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>_Export_;N/A;;;;;;>>> Promo Hors Lot;22628;Europe;6;9;216;736;3;N/A;N/A;5410146409783;4;
22629;022629;YOG MAI 125X8 BE;DANONE YOG MAIGRE 125GX8 BE;DANONE YOGHURT NATURAL;NUTRIDAY;Export;EXPORT;;;Export;;Danone France;15-oct-2007;1-déc-2099;Non;Bailleul (FR); ;F63 - KISS;BE;;;;Set yoghurt;Belgique;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>_Export_;N/A;;;;;;>>> Promo Hors Lot;22629;Europe;3;9;216;733;3;N/A;N/A;5410146409806;8;
22783;022783;ACTIV0% 4 VAN EN;ACTIVIA VANILLE 00% 125GX4 EN;ACTIVIA 0%;ACTIVIA;Export;EXPORT;;;Export;;Danone France;17-sept-2007;1-déc-2099;Non;Ferrières (FR); ;F63 - KISS;UK;;;;Stirred yoghurt;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>_Export_;N/A;;;;;;>>> Promo Hors Lot;22783;Europe;6;9;216;736;3;N/A;N/A;5060058335504;4;
24743;024743;ACTIV0%4 FRAMB EN;ACTIVIA FRAMBOISE 0% 125GX4 EN;ACTIVIA 0%;ACTIVIA;Export;EXPORT;;;Export;;Danone France;17-sept-2007;1-déc-2099;Non;Ferrières (FR); ;F63 - KISS;UK;;;;Stirred yoghurt;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>_Export_;N/A;;;;;;>>> Promo Hors Lot;24743;Europe;6;9;216;736;3;N/A;N/A;5060058335528;4;
25528;025528;DCOL 4  AB NAT;DANACOL A BOIRE NATURE 100GX4;DANACOL DRINK;DANACOL;Danacol;DANACOL;;6;FdR;;Import;21-janv-2008;1-déc-2099;Oui;Aldaya (ES);& Rotselaar (BE);BA100ml;FR;;;;IMPORT;Danacol;NON;;;;;;CE Toulouse;N/A;Oui;N/A;Roxane;N/A;>>DANACOL_A BOIRE_4 FDR;N/A;;;;;14502;>>> Promo Hors Lot;25528;Europe;6;16;240;686;2,4;N/A;N/A;3033490145026;4;
25606;025606;ACTIVIA FIG 4 NL;ACTIVIA FIGUE 125X4 NL;ACTIVIA YOGHURT FRUITS;ACTIVIA;Export;EXPORT;;;Export;;Danone France;1-oct-2007;22-janv-2018;Oui;Ferrières (FR);Villecomtal (FR);F63 - KISS;NL;;;;Stirred yoghurt;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>ACTIVIA_Export_;N/A;;;;;;>>> Promo Hors Lot;25606;Europe;6;9;216;736;3;N/A;N/A;5410146409264;4;
26315;026315;GERV18X50 PX CHOC;GERVAIS PANACHE 50X18 PX CHOC;PETIT GERVAIS FRUITS;PETIT GERVAIS;GAF 50;GAF;;;Lot;;Danone France;1-févr-2008;1-avr-2018;Non;Ferrières (FR); ;F48;FR;;;;Cheese;Gaf 50g;OUI;Copacking d'ajustement;;;91678;;;N/A;Non;N/A;Luc;N/A;>>PGF_FRUITS_18 LOT;N/A;;59387;59388;5381;;>>> Promo Lot;59387;Europe;8;8;88;722;7,2;N/A;N/A;3033490263157;18;
26366;026366;ACTIV FIB NAT4 IT;ACTIVIA FIBRE NATURE 125X4 IT;ACTIVIA YOGHURT CEREALS/FIBRES;ACTIVIA;Export;EXPORT;;;Export;;Danone France;27-avr-2015;1-déc-2099;Non;St Just (FR); ;F63 - KISS;IT;;;;Stirred yoghurt;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>ACTIVIA_Export_;N/A;;;;;;;Erreur;Europe;6;9;216;736;3;N/A;N/A;8001630005573;4;
26367;026367;ACTIV FIB FOR IT;ACTIVIA FIB FOREST FRT 125X4 IT;ACTIVIA YOGHURT CEREALS/FIBRES;ACTIVIA;Export;EXPORT;;;Export;;Danone France;1-juil-2015;1-déc-2099;Non;St Just (FR); ;F63 - KISS;IT;;;;Stirred yoghurt;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>ACTIVIA_Export_;N/A;;;;;;;Erreur;Europe;6;9;216;736;3;N/A;N/A;8001630005580;4;
26369;026369;ACTIV NOIX 4 IT;ACTIVIA NOIX 125X4 IT;ACTIVIA YOGHURT CEREALS/FIBRES;ACTIVIA;Export;EXPORT;;;Export;;Danone France;27-avr-2015;1-déc-2099;Non;St Just (FR); ;F63 - KISS;IT;;;;Stirred yoghurt;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>ACTIVIA_Export_;N/A;;;;;;;Erreur;Europe;6;9;216;727;3;N/A;N/A;8001630005603;4;
26370;026370;ACTIV4 KIW CER IT;ACTIVIA FIBRE KIWI CEREAL 125X4 IT;ACTIVIA YOGHURT CEREALS/FIBRES;ACTIVIA;Export;EXPORT;;;Export;;Danone France;27-avr-2015;1-déc-2099;Non;St Just (FR); ;F63 - KISS;IT;;;;Stirred yoghurt;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>ACTIVIA_Export_;N/A;;;;;;;Erreur;Europe;6;9;216;736;3;N/A;N/A;8001630005610;4;x
26371;026371;ACTIV4 COC MUE IT;ACTIVIA FIB MUES 125X4 IT IE;ACTIVIA YOGHURT CEREALS/FIBRES;ACTIVIA;Export;EXPORT;;;Export;;Danone France;27-avr-2015;1-déc-2099;Non;St Just (FR); ;F63 - KISS;IT;;;;Stirred yoghurt;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>ACTIVIA_Export_;N/A;;;;;;;Erreur;Europe;6;9;216;736;3;N/A;N/A;8001630005627;4;
26372;026372;ACTIV4 POI CER IT;ACTIVIA FIB POIRE CEREA 125X4 IT;ACTIVIA YOGHURT CEREALS/FIBRES;ACTIVIA;Export;EXPORT;;;Export;;Danone France;27-avr-2015;1-déc-2099;Non;St Just (FR); ;F63 - KISS;IT;;;;Stirred yoghurt;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>ACTIVIA_Export_;N/A;;;;;;;Erreur;Europe;6;9;216;736;3;N/A;N/A;8001630005634;4;
26378;026378;ACTIV 4 PRUNE IT;ACTIVIA PRUNEAU 125X4 IT;ACTIVIA YOGHURT FRUITS;ACTIVIA;Export;EXPORT;;;Export;;Danone France;27-avr-2015;1-déc-2099;Non;St Just (FR); ;F63 - KISS;IT;;;;Stirred yoghurt;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>ACTIVIA_Export_;N/A;;;;;;;Erreur;Europe;6;9;216;718;3;N/A;N/A;8001630005702;4;
26380;026380;ACTIV4 0% NAT IT;ACTIVIA 0% NATURE 125X4 IT;ACTIVIA 0%;ACTIVIA;Export;EXPORT;;;Export;;Danone France;6-nov-2017;1-déc-2099;Non;St Just (FR); ;F63 - KISS;IT;;;;Stirred yoghurt;Export;NON;;;;;;;;Non;N/A;Export;;;N/A;;;;;;;Erreur;Europe;6;9;216;736;3;N/A;N/A;8001630005740;4;x
